Hinglish,hindi
khushboo,खुशबू
khushbuu,खुशबू
khushbu,खुशबू
khusbhu,खुशबू
tera,तेरा
teraa,तेरा
teraaa,तेरा
badan,बदन
sulgeh,सुलगे
sulage,सुलगे
sulge,सुलगे
mehke,महके
mahake,महके
mehake,महके
maheke,महके
pighale,पिघले
pighle,पिघले
dehke,दहके
dahake,दहके
behke,बहके
baheke,बहके
bahake,बहके
behake,बहके
bahke,बहके
mera,मेरा
meraa,मेरा
meraaa,मेरा
chali,चली
chalii,चली
challi,चली
chale,चले
hawaa,हवा
hawa,हवा
hava,हवा
havaa,हवा
ke,के
kee,की
kaee,कई
koee,कोई
que,के
q,क्यूँ
nasha,नशा
ghula,घुला
gula,घुला
ghulaa,घुला
samaa,समा
sama,समा
samah,समा
samma,समा
samaan,समा
samay,समय
bhi,भी
smjh,समझ
bass,बस
bas,बस
jaise,जैसे
jise,जिसे
dhuan,धुआँ
dhuaan,धुआँ
roop,रूप
ruup,रूप
rup,रूप
ruupa,रूप
rupa,रूप
ye,ये
yye,ये
yei,ये
yey,ये
khule,खुले
khulke,खुल्के
baal,बाल
bal,बाल
hain,हैं
hai,हैं
hii,हैं
hein,हैं
haan,हाँ
huye,"हुए
"
huyee,हैं
huii,"
हुई"
haye,हाए
hae,हाए
badliyaan,बदलियाँ
badaliyaan,बदलियाँ
badliyan,बदलियाँ
badaliyan,बदलियाँ
tu,तू
to,तो
jo,जो
jaao,जाओ
jao,जाओ
paas,पास
pass,पास
pas,पास
pyaas,प्यासा
paasa,पास
pyaase,प्यासे
mujhe,मुझे
muze,मुझे
mujhse,मुझसे
mujhase,मुझसे
mujeh,मुझे
mujh,मुझ
muhje,मुझे
mujhey,मुझे
muzhe,मुझे
muhjhe,मुझे
mujkhe,मुझे
pyas,प्यास
payaas,प्यास
pyaasaa,प्यासा
tere,तेरे
teree,तेरे
terre,तेरे
terey,तेरे
teere,तेरे
tehre,तेरे
ka,का
kya,क्या
kaa,का
kar,कर
kal,कल
kyaa,क्या
kab,कब
kah,का
kaam,काम
khaee,खाई
khai,खाई
kai,काई
ahsaas,एहसास
dinbhar,दिनभर
ehsaas,एहसास
ahasaas,एहसास
ehasaas,एहसास
ehsas,एहसास
ahsas,एहसास
yehasaas,एहसास
aihsaas,एहसास
ehasas,एहसास
chaand,चाँद
chand,चाँद
chaanda,चाँद
chanad,चाँद
chhaand,चाँद
sitaare,सितारे
sitare,सितारे
sithaare,सितारे
sitaaren,सितारे
sitarey,सितारे
seetaare,सितारे
sitaren,सितारे
karate,करते
karte,करते
kaarte,करते
karthe,करते
ishaare,इशारे
ishare,इशारे
ishaaren,इशारे
ham,हम
hum,हम
hama,हम
hmm,हम
hame,हम
hume, हमें
hm,हम
tumhaare,तुम्हारे
